category,pck@0.05,pck@0.10,pck@0.20
car(G),80.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),50.0,90.0,100.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),50.0,80.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),80.0,90.0,100.0
car(G),80.0,80.0,90.0
car(G),90.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),70.0,90.0,90.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),50.0,70.0,80.0
car(G),80.0,100.0,100.0
car(G),50.0,80.0,90.0
car(G),40.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),80.0,90.0,90.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,90.0,90.0
car(G),90.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),50.0,80.0,90.0
car(G),80.0,90.0,100.0
car(G),90.0,90.0,90.0
car(G),70.0,90.0,90.0
car(G),80.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),50.0,90.0,90.0
car(G),100.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,80.0,90.0
car(G),60.0,90.0,90.0
car(G),50.0,90.0,90.0
car(G),60.0,80.0,90.0
car(G),80.0,80.0,80.0
car(G),80.0,90.0,90.0
car(G),70.0,80.0,90.0
car(G),70.0,80.0,90.0
car(G),80.0,90.0,90.0
car(G),100.0,100.0,100.0
car(G),90.0,90.0,90.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),30.0,70.0,90.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),50.0,70.0,100.0
car(G),40.0,80.0,90.0
car(G),60.0,80.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,70.0,100.0
car(G),60.0,80.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,70.0,100.0
car(G),60.0,80.0,100.0
car(G),50.0,70.0,100.0
car(G),70.0,80.0,90.0
car(G),80.0,100.0,100.0
car(G),50.0,70.0,100.0
car(G),50.0,90.0,90.0
car(G),30.0,60.0,80.0
car(G),60.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),50.0,70.0,100.0
car(G),60.0,80.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),40.0,80.0,100.0
car(G),70.0,90.0,90.0
car(G),40.0,70.0,80.0
car(G),80.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),50.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,80.0,100.0
car(G),30.0,80.0,100.0
car(G),40.0,50.0,100.0
car(G),70.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),40.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),50.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,80.0,90.0
car(G),30.0,60.0,90.0
car(G),70.0,90.0,90.0
car(G),90.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),40.0,80.0,100.0
car(G),60.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),50.0,80.0,90.0
car(G),70.0,80.0,100.0
car(G),60.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),50.0,90.0,100.0
car(G),50.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),50.0,90.0,90.0
car(G),50.0,90.0,100.0
car(G),50.0,70.0,90.0
car(G),60.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),60.0,90.0,100.0
car(G),60.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),70.0,80.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,80.0,100.0
car(G),60.0,80.0,100.0
car(G),90.0,90.0,100.0
car(G),50.0,80.0,90.0
car(G),50.0,70.0,100.0
car(G),60.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,90.0,100.0
car(G),40.0,50.0,80.0
car(G),40.0,80.0,100.0
car(G),60.0,90.0,90.0
car(G),60.0,80.0,100.0
car(G),60.0,80.0,100.0
car(G),50.0,80.0,100.0
car(G),20.0,40.0,70.0
car(G),50.0,70.0,100.0
car(G),60.0,70.0,100.0
car(G),60.0,80.0,100.0
car(G),30.0,60.0,90.0
car(G),30.0,80.0,100.0
car(G),40.0,70.0,90.0
car(G),30.0,60.0,90.0
car(G),60.0,60.0,100.0
car(G),30.0,50.0,70.0
car(G),30.0,50.0,100.0
car(G),40.0,80.0,80.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,80.0
car(G),40.0,80.0,90.0
car(G),30.0,80.0,100.0
car(G),40.0,60.0,90.0
car(G),70.0,90.0,100.0
car(G),20.0,80.0,90.0
car(G),40.0,50.0,100.0
car(G),50.0,90.0,100.0
car(G),60.0,80.0,90.0
car(G),20.0,50.0,70.0
car(G),50.0,80.0,80.0
car(G),60.0,100.0,100.0
car(G),50.0,50.0,90.0
car(G),30.0,50.0,90.0
car(G),40.0,70.0,80.0
car(G),50.0,80.0,100.0
car(G),60.0,70.0,90.0
car(G),50.0,60.0,90.0
car(G),40.0,60.0,80.0
car(G),30.0,60.0,80.0
car(G),50.0,60.0,90.0
car(G),40.0,50.0,70.0
car(G),40.0,40.0,80.0
car(G),50.0,70.0,90.0
car(G),60.0,70.0,100.0
car(G),30.0,50.0,70.0
car(G),70.0,100.0,100.0
car(G),60.0,70.0,80.0
car(G),50.0,80.0,100.0
car(G),70.0,80.0,90.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,90.0
car(G),30.0,60.0,70.0
car(G),50.0,70.0,90.0
car(G),40.0,80.0,100.0
car(G),60.0,70.0,100.0
car(G),50.0,60.0,90.0
car(G),60.0,100.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,90.0,100.0
car(G),30.0,60.0,90.0
car(G),40.0,80.0,100.0
car(G),50.0,70.0,100.0
car(G),50.0,70.0,90.0
car(G),80.0,100.0,100.0
car(G),20.0,40.0,70.0
car(G),80.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),70.0,70.0,100.0
car(G),20.0,60.0,100.0
car(G),50.0,70.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,70.0,90.0
car(G),90.0,100.0,100.0
car(G),30.0,40.0,90.0
car(G),40.0,60.0,100.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,100.0
car(G),60.0,70.0,100.0
car(G),40.0,70.0,100.0
car(G),50.0,80.0,80.0
car(G),40.0,60.0,90.0
car(G),60.0,100.0,100.0
car(G),30.0,60.0,90.0
car(G),50.0,70.0,90.0
car(G),60.0,70.0,90.0
car(G),40.0,50.0,60.0
car(G),10.0,70.0,90.0
car(G),40.0,70.0,90.0
car(G),40.0,70.0,70.0
car(G),20.0,50.0,80.0
car(G),40.0,70.0,80.0
car(G),60.0,80.0,90.0
car(G),30.0,80.0,100.0
car(G),40.0,60.0,90.0
car(G),40.0,80.0,100.0
car(G),70.0,90.0,90.0
car(G),60.0,100.0,100.0
car(G),20.0,80.0,90.0
car(G),40.0,50.0,100.0
car(G),30.0,60.0,80.0
car(G),50.0,80.0,100.0
car(G),20.0,50.0,70.0
car(G),30.0,50.0,90.0
car(G),50.0,60.0,100.0
car(G),50.0,70.0,70.0
car(G),50.0,70.0,80.0
car(G),40.0,70.0,80.0
car(G),50.0,60.0,90.0
car(G),60.0,80.0,80.0
car(G),40.0,60.0,100.0
car(G),30.0,40.0,60.0
car(G),20.0,70.0,100.0
car(G),30.0,60.0,90.0
car(G),50.0,80.0,80.0
car(G),40.0,70.0,80.0
car(G),10.0,70.0,70.0
car(G),20.0,50.0,100.0
car(G),30.0,60.0,80.0
car(G),40.0,90.0,100.0
car(G),20.0,40.0,80.0
car(G),40.0,50.0,70.0
car(G),40.0,50.0,80.0
car(G),20.0,50.0,80.0
car(G),30.0,60.0,60.0
car(G),50.0,70.0,90.0
car(G),60.0,70.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,80.0,90.0
car(G),40.0,80.0,80.0
car(G),50.0,80.0,100.0
car(G),60.0,90.0,90.0
car(G),60.0,100.0,100.0
car(G),40.0,90.0,100.0
car(G),30.0,60.0,70.0
car(G),50.0,70.0,90.0
car(G),50.0,80.0,100.0
car(G),70.0,90.0,100.0
car(G),50.0,90.0,100.0
car(G),30.0,70.0,80.0
car(G),50.0,70.0,100.0
car(G),60.0,90.0,90.0
car(G),70.0,80.0,90.0
car(G),40.0,90.0,90.0
car(G),30.0,80.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),50.0,90.0,90.0
car(G),50.0,80.0,90.0
car(G),50.0,80.0,90.0
car(G),50.0,70.0,90.0
car(G),40.0,70.0,90.0
car(G),40.0,70.0,80.0
car(G),40.0,70.0,90.0
car(G),70.0,80.0,80.0
car(G),40.0,80.0,90.0
car(G),50.0,70.0,80.0
car(G),30.0,40.0,80.0
car(G),80.0,90.0,100.0
car(G),60.0,70.0,100.0
car(G),40.0,70.0,90.0
car(G),70.0,70.0,100.0
car(G),20.0,60.0,100.0
car(G),60.0,90.0,90.0
car(G),50.0,80.0,90.0
car(G),50.0,100.0,100.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,100.0
car(G),50.0,60.0,90.0
car(G),50.0,70.0,90.0
car(G),40.0,60.0,100.0
car(G),60.0,70.0,100.0
car(G),60.0,70.0,100.0
car(G),70.0,80.0,90.0
car(G),50.0,70.0,90.0
car(G),50.0,80.0,80.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,90.0
car(G),60.0,60.0,80.0
car(G),30.0,50.0,70.0
car(G),30.0,60.0,80.0
car(G),40.0,70.0,80.0
car(G),40.0,60.0,80.0
car(G),50.0,80.0,100.0
car(G),50.0,60.0,80.0
car(G),40.0,60.0,80.0
car(G),40.0,70.0,90.0
car(G),50.0,80.0,100.0
car(G),40.0,60.0,100.0
car(G),50.0,60.0,100.0
car(G),30.0,40.0,80.0
car(G),50.0,70.0,70.0
car(G),50.0,70.0,80.0
car(G),20.0,70.0,90.0
car(G),60.0,80.0,90.0
car(G),60.0,80.0,100.0
car(G),30.0,50.0,100.0
car(G),30.0,50.0,80.0
car(G),40.0,70.0,80.0
car(G),40.0,40.0,70.0
car(G),20.0,40.0,80.0
car(G),40.0,40.0,70.0
car(G),30.0,50.0,90.0
car(G),40.0,40.0,60.0
car(G),40.0,60.0,100.0
car(G),60.0,70.0,70.0
car(G),40.0,80.0,90.0
car(G),30.0,60.0,90.0
car(G),50.0,60.0,80.0
car(G),50.0,80.0,80.0
car(G),40.0,70.0,80.0
car(G),60.0,80.0,100.0
car(G),20.0,40.0,60.0
car(G),30.0,70.0,90.0
car(G),20.0,40.0,70.0
car(G),40.0,60.0,100.0
car(G),20.0,50.0,80.0
car(G),60.0,70.0,80.0
car(G),10.0,30.0,60.0
car(G),40.0,50.0,90.0
car(G),50.0,70.0,90.0
car(G),20.0,70.0,80.0
car(G),70.0,90.0,100.0
car(G),60.0,70.0,90.0
car(G),50.0,90.0,100.0
car(G),20.0,40.0,90.0
car(G),20.0,70.0,100.0
car(G),60.0,90.0,90.0
car(G),70.0,80.0,90.0
car(G),50.0,90.0,100.0
car(G),30.0,80.0,80.0
car(G),60.0,90.0,100.0
car(G),40.0,70.0,90.0
car(G),60.0,90.0,100.0
car(G),40.0,70.0,100.0
car(G),50.0,90.0,90.0
car(G),40.0,70.0,100.0
car(G),90.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),40.0,50.0,80.0
car(G),70.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),60.0,90.0,100.0
car(G),30.0,50.0,100.0
car(G),60.0,100.0,100.0
car(G),50.0,90.0,100.0
car(G),70.0,90.0,90.0
car(G),40.0,70.0,100.0
car(G),40.0,50.0,90.0
car(G),50.0,70.0,90.0
car(G),20.0,50.0,90.0
car(G),40.0,70.0,90.0
car(G),50.0,70.0,90.0
car(G),70.0,80.0,80.0
car(G),60.0,80.0,100.0
car(G),40.0,80.0,90.0
car(G),20.0,60.0,100.0
car(G),40.0,60.0,80.0
car(G),70.0,80.0,90.0
car(G),40.0,50.0,80.0
car(G),30.0,50.0,100.0
car(G),30.0,60.0,100.0
car(G),30.0,80.0,100.0
car(G),30.0,70.0,80.0
car(G),30.0,90.0,100.0
car(G),40.0,80.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),80.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),40.0,80.0,80.0
car(G),80.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),60.0,80.0,100.0
car(G),70.0,80.0,90.0
car(G),80.0,80.0,100.0
car(G),80.0,80.0,90.0
car(G),40.0,70.0,80.0
car(G),80.0,100.0,100.0
car(G),60.0,60.0,70.0
car(G),60.0,90.0,100.0
car(G),50.0,80.0,90.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),60.0,90.0,90.0
car(G),90.0,90.0,100.0
car(G),80.0,90.0,90.0
car(G),90.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),60.0,90.0,90.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),70.0,80.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),50.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,90.0,90.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),70.0,70.0,80.0
car(G),70.0,70.0,90.0
car(G),60.0,80.0,90.0
car(G),60.0,60.0,100.0
car(G),60.0,80.0,100.0
car(G),50.0,70.0,90.0
car(G),60.0,80.0,80.0
car(G),60.0,70.0,90.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,80.0,80.0
car(G),50.0,90.0,100.0
car(G),50.0,80.0,90.0
car(G),50.0,80.0,100.0
car(G),70.0,70.0,90.0
car(G),60.0,70.0,90.0
car(G),80.0,90.0,90.0
car(G),30.0,70.0,80.0
car(G),70.0,70.0,90.0
car(G),90.0,90.0,90.0
car(G),80.0,80.0,90.0
car(G),60.0,100.0,100.0
car(G),40.0,70.0,80.0
car(G),60.0,80.0,90.0
car(G),60.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),60.0,60.0,70.0
car(G),70.0,90.0,100.0
car(G),60.0,90.0,90.0
car(G),60.0,80.0,100.0
car(G),90.0,90.0,100.0
car(G),70.0,80.0,90.0
car(G),80.0,90.0,90.0
car(G),80.0,90.0,90.0
car(G),80.0,90.0,90.0
car(G),90.0,90.0,100.0
car(G),50.0,80.0,100.0
car(G),60.0,80.0,80.0
car(G),70.0,80.0,90.0
car(G),70.0,100.0,100.0
car(G),50.0,70.0,80.0
car(G),70.0,80.0,80.0
car(G),70.0,80.0,80.0
car(G),70.0,70.0,80.0
car(G),60.0,70.0,80.0
car(G),50.0,90.0,90.0
car(G),60.0,90.0,90.0
car(G),80.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),90.0,90.0,100.0
car(G),80.0,80.0,90.0
car(G),90.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),40.0,70.0,100.0
car(G),40.0,60.0,80.0
car(G),60.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),60.0,80.0,80.0
car(G),60.0,80.0,90.0
car(G),60.0,80.0,90.0
car(G),60.0,70.0,80.0
car(G),70.0,70.0,80.0
car(G),60.0,80.0,90.0
car(G),60.0,70.0,80.0
car(G),70.0,80.0,80.0
car(G),70.0,80.0,100.0
car(G),50.0,80.0,90.0
car(G),60.0,70.0,100.0
car(G),80.0,80.0,80.0
car(G),80.0,80.0,80.0
car(G),70.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,90.0
car(G),60.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),70.0,90.0,90.0
car(G),60.0,90.0,90.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),80.0,90.0,90.0
car(G),50.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),90.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,80.0,90.0
car(G),50.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,90.0,90.0
car(G),80.0,80.0,100.0
car(G),60.0,100.0,100.0
car(G),60.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),90.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),50.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),50.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),90.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),60.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),70.0,80.0,100.0
car(G),100.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,90.0,90.0
car(G),100.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),40.0,90.0,100.0
car(G),70.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),60.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),70.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),70.0,90.0,100.0
car(G),60.0,90.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,90.0,100.0
car(G),60.0,90.0,100.0
car(G),80.0,90.0,100.0
car(G),100.0,100.0,100.0
car(G),100.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),80.0,100.0,100.0
car(G),70.0,100.0,100.0
car(G),90.0,100.0,100.0
car(G),80.0,100.0,100.0
